id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
119102,,,,Gl 633,,,16.680091,-46.00725,9.5602,355.33,-393.25,30.0,12.68,12.778,M3,1.61,-2.249263,-6.248781,-6.878976,1.272e-05,-1.33e-05,-3.473e-05,4.366837673422556,-0.8029779987627,1.7226884511e-06,-1.906515254e-06,,,Ara,1,119102,,0.0006742174675762,,,
119115,,,,GJ 1207,,,16.951701,-4.350405,9.5785,507.73,-372.97,0.0,12.28,12.374,dM3.5,1.6,-2.588404,-9.193471,-0.726586,2.305e-05,-5.13e-06,-1.727e-05,4.437944983225014,-0.0759288859944,2.4615445003e-06,-1.808199888e-06,,,Oph,1,119115,,0.000978137704323,,,
117956,,,,GJ 1001,,,0.077898,-40.705153,9.5969,693.12,-1453.16,-3.0,12.84,12.929,M3.5,1.63,7.27354,0.148745,-6.258677,-4.704e-05,3.13e-05,-4.927e-05,0.0203936730291333,-0.7104389344088,3.3603405827e-06,-7.045128176e-06,,,Phe,1,117956,,0.000586678266402,,,
56828,56997.0,101501.0,4496.0,Gl 434,61    UMa,,11.684171,34.201635,9.6117,-13.95,-380.46,-5.9,5.31,5.396,G8Vvar,0.723,-7.922294,0.656542,5.402774,-4.9e-06,1.06e-06,-1.805e-05,3.0589089132243013,0.5969311474313712,-6.76315084e-08,-1.844522129e-06,,61.0,UMa,1,56828,,0.6047835918818003,,,
118289,,,,GJ 3275,,,4.368687,19.259909,9.6154,-108.33,-19.1,0.0,12.9,12.985,dM4.5e,1.7,3.759917,8.261925,3.171677,4.72e-06,-1.82e-06,-8.4e-07,1.1437194960669927,0.3361488307869499,-5.251986601e-07,-9.2604261e-08,,,Tau,1,118289,,0.0005571857489319,,,
118265,,,,GJ 3253,,,3.878083,17.019189,9.6154,408.35,-640.98,0.0,13.7,13.785,M4.5,,4.848881,7.811766,2.81435,-1.156e-05,1.747e-05,-2.857e-05,1.0152797438332275,0.2970408907907499,1.9797366645e-06,-3.107544185e-06,,,Tau,1,118265,,0.0002666858664521,,,
72717,72944.0,,,Gl 569A,,,14.90812,16.101062,9.6534,275.95,-122.11,-8.4,10.11,10.187,M2Ve,1.5,-6.714014,-6.398547,2.67718,1.374e-05,-4.75e-06,-7.87e-06,3.9029365701293255,0.2810165439476312,1.3378433515e-06,-5.92005985e-07,,,Boo,1,72717,Gl 569,0.0073316208902721,CE,10.15,10.02
46522,46655.0,,,GJ 1125,,,9.512385,0.322661,9.6656,-569.91,-552.23,-40.0,11.71,11.784,K:...,1.588,-7.686867,5.858842,0.05443,4.861e-05,-3.47e-06,-2.611e-05,2.49033644373559,0.005631491742355,-2.7630016469e-06,-2.677286588e-06,,,Hya,1,46522,,0.0016842245750827,,11.833,11.593
118976,,,,GJ 3855,,,14.51166,59.717783,9.6805,-800.87,176.08,21.0,17.88,17.951,M6.5,,-3.864652,-2.983062,8.360544,-2.59e-05,2.748e-05,2.271e-05,3.799143629633827,1.0422719294812,-3.8827273235e-06,8.53669624e-07,,,Dra,1,118976,,5.7491018157e-06,,,
84325,84581.0,,,,,,17.289866,-7.876427,9.6824,104.16,168.46,0.0,11.09,11.16,,,-1.772845,-9.425782,-1.326847,4.6e-06,-1.97e-06,7.83e-06,4.526476249591885,-0.1374695817251475,5.049819297e-07,8.16717126e-07,,,Oph,1,84325,,0.0029922646366081,,,
61436,61629.0,,,Gl 479,,,12.631276,-52.001477,9.6918,-1034.22,30.09,3.0,10.65,10.718,M3,1.47,-5.885415,-0.981456,-7.637418,-1.096e-05,4.743e-05,-1.55e-06,3.306860298149588,-0.907596986546185,-5.014040047e-06,1.45880436e-07,,,Cen,1,61436,,0.004495727713019,,10.714,10.584
85794,86057.0,,,Gl 680,,,17.587109,-48.680866,9.7248,84.41,456.02,0.0,10.13,10.191,K5,1.543,-0.692694,-6.383349,-7.30375,2.21e-06,-1.648e-05,1.419e-05,4.604294328773244,-0.8496413880857225,4.092312278e-07,2.210847346e-06,,,Ara,1,85794,,0.0073046598952041,,,
69962,70185.0,,,,,,14.359603,-16.258501,9.7418,-102.53,-11.98,0.0,13.45,13.507,,,-7.623809,-5.416765,-2.727426,-2.68e-06,4.04e-06,-5.4e-07,3.7593352895546666,-0.2837643722059325,-4.970794667e-07,-5.8080678e-08,,,Vir,1,69962,,0.0003445085462866,,,
31555,31635.0,260655.0,,Gl 239,,,6.619671,17.564801,9.7466,-775.53,331.8,-56.1,9.63,9.686,M1:,1.48,-1.500769,9.169698,2.941219,4.576e-05,-5.273e-05,-2.37e-06,1.7330257200890529,0.3065636143531799,-3.7598755368e-06,1.608611792e-06,,,Gem,1,31555,,0.0116305432332846,,,
81054,81300.0,149661.0,6171.0,Gl 631,12    Oph,,16.605958,-2.324584,9.7513,455.22,-307.63,-12.1,5.77,5.825,K2V,0.827,-3.477447,-9.101465,-0.395514,2.473e-05,4.42e-06,-1.403e-05,4.347429648977321,-0.0405716380328437,2.2069688366e-06,-1.491432325e-06,,12.0,Oph,1,81054,,0.4073802778041125,V2133,5.778,5.758
118710,,,,GJ 1138,,,10.829586,35.546333,9.7656,-673.5,-1029.22,0.0,13.02,13.072,m,1.66,-7.575548,2.397046,5.67734,-1.741e-05,3.894e-05,-3.964e-05,2.835178910993073,0.62040054303185,-3.2652201385e-06,-4.989799363e-06,,,LMi,1,118710,,0.0005142804319488,,,
118152,,,,Gl 102,,,2.560159,24.925877,9.7656,37.96,-678.94,0.0,12.96,13.012,M4,1.7,6.940132,5.501163,4.115667,9.5e-06,9.83e-06,-2.915e-05,0.6702481827636569,0.4350386155423,1.840352731e-07,-3.291589154e-06,,,Ari,1,118152,,0.0005435005651294,,,
81753,82003.0,151288.0,,Gl 638,,,16.751765,33.509229,9.8078,-39.18,383.41,-30.6,8.1,8.142,K7V,1.31,-2.62499,-7.74472,5.414454,9.84e-06,3.484e-05,-2.08e-06,4.3856019369375,0.584846381711155,-1.8995e-07,1.858824132e-06,,,Her,1,81753,,0.0482169793900618,,,
119360,,,,GJ 1256,,,20.676098,15.498127,9.8425,1322.19,664.99,-76.0,13.43,13.464,dM4-5,1.72,6.11219,-7.247628,2.628946,-5.49e-06,0.00010441,9.82e-06,5.412989688900147,0.2704933446095,6.4101580029e-06,3.22397219e-06,,,Del,1,119360,,0.0003584264080437,,,
47645,47780.0,,,Gl 367,,Añañuca,9.741653,-45.776513,9.8707,-466.6,-585.84,60.0,10.22,10.248,M1:,1.53,-5.716082,3.837529,-7.073973,-6.41e-06,3.12e-05,-6.353e-05,2.550358836269457,-0.7989508640340776,-2.2621406335e-06,-2.840232466e-06,,,Vel,1,47645,,0.0069310654514993,,10.279,10.169
118012,,,,GJ 3049,,,0.724006,-41.293663,9.901,-499.94,-545.59,0.0,13.1,13.122,M4,,7.305815,1.401298,-6.533854,-1.244e-05,-2.682e-05,-1.968e-05,0.1895443661242715,-0.72071038253595,-2.4237775146e-06,-2.645070719e-06,,,Phe,1,118012,,0.000491133999647,,,
